project_id,year,revenue_vnd,opex_vnd,depreciation_vnd,taxable_income_vnd,tax_loss_opening_vnd,tax_loss_closing_vnd,tax_vnd,working_capital_vnd,delta_working_capital_vnd,capex_vnd,capex_net_vnd,vat_paid_vnd,construction_capex_vnd,idc_vnd,major_maintenance_vnd,terminal_value_vnd,terminal_release_vnd,terminal_branch,cfads_vnd,sources_vnd,uses_vnd,sources_uses_balance_vnd
VG-001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31056520833.333332,28351975378.787876,2704545454.545457,29750000000.0,1306520833.3333335,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,0.0,31056520833.333332,31056520833.333332,0.0
VG-001,1,3845226000.0,525000000.0,1890131691.9191918,1430094308.0808082,0.0,0.0,286018861.61616164,316045972.60273975,316045972.60273975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2718161165.7810984,0.0,0.0,0.0
VG-001,2,3864259868.7,535500000.0,1890131691.9191918,1438628176.780808,0.0,0.0,287725635.3561616,317610400.16712326,1564427.5643835068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3039469805.7794547,0.0,0.0,0.0
VG-001,3,3883387955.0500655,546210000.0,1890131691.9191918,1447046263.1308737,0.0,0.0,289409252.62617475,319182571.6479506,1572171.4808273315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3046196530.9430633,0.0,0.0,0.0
VG-001,4,3902610725.427563,557134200.0000001,1890131691.9191918,1455344833.5083714,0.0,0.0,291068966.7016743,320762525.37760794,1579953.729657352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3052827604.9962316,0.0,0.0,0.0
VG-001,5,3921928648.5184293,568276884.0,1890131691.9191918,1463520072.5992374,0.0,0.0,292704014.5198475,322350299.87822706,1587774.5006191134,0.0,0.0,0.0,0.0,0.0,141759876.89393938,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2917600098.6040235,0.0,0.0,0.0
VG-001,6,3941342195.328596,579642421.6800001,1890131691.9191918,1471568081.729404,0.0,0.0,294313616.3458808,323945933.86262435,1595633.9843972921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3065790523.3183174,0.0,0.0,0.0
VG-001,7,3960851839.1954727,591235270.1136,1890131691.9191918,1479484877.162681,0.0,0.0,295896975.43253624,325549466.23524433,1603532.3726199865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3072116061.2767167,0.0,0.0,0.0
VG-001,8,3980458055.7994895,603059975.515872,1890131691.9191918,1487266388.3644257,0.0,0.0,297453277.6728851,327160936.0931087,1611469.8578643799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3078333332.752868,0.0,0.0,0.0
VG-001,9,4000161323.1756973,615121175.0261896,1890131691.9191918,1494908456.2303157,0.0,0.0,298981691.2460632,328780382.7267696,1619446.6336609125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3084439010.2697835,0.0,0.0,0.0
VG-001,10,4019962121.725416,627423598.5267133,1890131691.9191918,1502406831.279511,0.0,0.0,300481366.25590223,330407845.6212671,1627462.8944974542,0.0,0.0,0.0,0.0,0.0,141759876.89393938,0.0,0.0,ZERO_RESIDUAL_NO_SALE,2948669817.1543636,0.0,0.0,0.0
VG-001,11,4039860934.2279577,639972070.4972476,1890131691.9191918,1509757171.8115182,0.0,0.0,301951434.3623037,332043364.4570924,1635518.835825324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3096301910.532581,0.0,0.0,0.0
VG-001,12,4059858245.852386,652771511.9071926,1890131691.9191918,1516955042.0260015,0.0,0.0,303391008.4052003,333686979.11115503,1643614.6540626287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ZERO_RESIDUAL_NO_SALE,3102052110.88593,0.0,0.0,0.0
