portfolio_case,scenario,scenario_note,selected_count,project_npv_vnd,project_irr_min,equity_npv_vnd,equity_irr_min,min_dscr,status
NEGOTIATED_TERMS,BASE_SPONSOR,P50; contractual base terms,7,7009643430.137331,0.1238457158384273,8509767509.326926,0.15381327257158095,1.2999999999999998,PASS
NEGOTIATED_TERMS,P90_ENERGY,P90 generation; no re-sizing of commercial price,7,-8823577253.886236,0.10087237621423417,-4053753063.3982997,0.1142720101706648,1.2999999999999998,PASS
NEGOTIATED_TERMS,CAPEX_OVERRUN,15% CAPEX overrun; debt re-sized,7,-12950651450.469707,0.10097633270652218,-6969665916.390347,0.1144684316864012,1.2999999999999998,PASS
NEGOTIATED_TERMS,COD_DELAY,one-year COD delay; CFADS shifted,7,-13424636274.993368,0.1002551297247537,-9619550323.247046,0.1105607277061883,0.0,FAIL_DSCR
NEGOTIATED_TERMS,INTEREST_RATE_SHOCK,rate moves to 11%; debt re-sized,7,7009643430.137331,0.1238457158384273,2010049122.3424249,0.13640310046684967,1.2999999999999998,PASS
NEGOTIATED_TERMS,DSO_DELAY,DSO moves from 30 to 90 days,7,3580973792.4935875,0.11964157465892977,5964455961.334143,0.14743988673319441,1.2999999999999998,PASS
NEGOTIATED_TERMS,COMBINED_DOWNSIDE,P90; 15% CAPEX; 11% rate; DSO 90; COD delay; 10% common haircut,7,-62356130702.35999,0.04552828927059205,-67068917211.98752,0.026089837360622536,0.0,FAIL_DSCR
