project_id,year,cfads_vnd,debt_service_vnd,dsra_opening_vnd,dsra_funding_vnd,cash_trap_vnd,distribution_vnd,dsra_release_vnd,dsra_closing_vnd,terminal_value_vnd,terminal_branch,waterfall_status
VG-001,1,2718161165.7810984,2090893204.4469986,0.0,1045446602.2234993,0.0,627267961.3340998,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,2,3039469805.7794547,2338053696.7534266,1045446602.2234993,0.0,0.0,701416109.0260282,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,3,3046196530.9430633,2343228100.7254333,1045446602.2234993,0.0,0.0,702968430.2176299,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,4,3052827604.9962316,2348328926.920178,1045446602.2234993,0.0,0.0,704498678.0760536,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,5,2917600098.6040235,2244307768.156941,1045446602.2234993,0.0,0.0,673292330.4470825,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,6,3065790523.3183174,2358300402.5525517,1045446602.2234993,0.0,0.0,707490120.7657657,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,7,3072116061.2767167,2363166200.9820895,1045446602.2234993,0.0,0.0,708949860.2946272,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,8,3078333332.752868,2367948717.5022063,1045446602.2234993,0.0,0.0,710384615.2506618,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,9,3084439010.2697835,2372645392.515218,1045446602.2234993,0.0,0.0,711793617.7545657,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,10,2948669817.1543636,1004570979.3706636,1045446602.2234993,0.0,0.0,1944098837.7837,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,11,3096301910.532581,0.0,1045446602.2234993,0.0,0.0,3096301910.532581,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,12,3102052110.88593,0.0,1045446602.2234993,0.0,0.0,3102052110.88593,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,13,3107676669.4564533,0.0,1045446602.2234993,0.0,0.0,3107676669.4564533,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,14,3113171882.211833,0.0,1045446602.2234993,0.0,0.0,3113171882.211833,0.0,1045446602.2234993,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-001,15,3457200764.8612742,0.0,1045446602.2234993,0.0,0.0,3457200764.8612742,1045446602.2234993,0.0,0.0,ZERO_RESIDUAL_NO_SALE,RELEASE
VG-002,1,3030607027.3682027,2331236174.8986173,0.0,1165618087.4493086,0.0,699370852.4695854,0.0,1165618087.4493086,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-002,2,3388996654.7949424,2606920503.688417,1165618087.4493086,0.0,0.0,782076151.1065254,0.0,1165618087.4493086,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-002,3,3396859348.548678,2612968729.652829,1165618087.4493086,0.0,0.0,783890618.8958488,0.0,1165618087.4493086,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-002,4,3404622803.6364937,2618940618.181918,1165618087.4493086,0.0,0.0,785682185.4545755,0.0,1165618087.4493086,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
VG-002,5,3260398183.26063,2507998602.508177,1165618087.4493086,0.0,0.0,752399580.7524533,0.0,1165618087.4493086,0.0,ZERO_RESIDUAL_NO_SALE,DISTRIBUTION
